Fonte;Site;EAN;Descrição do Produto;Data e hora da coleta;Estado;Concorrente;Estoque;Quantidade de estoque;Quantidade por pacote;Preço Fábrica;Desconto;ST;Preço Final
Python;SERVIMED;'7896222720016;PRESERVATIVO JONTEX SENSITIVE 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;17,51874142118044;0,0;0,0;14,19
Python;SERVIMED;'7896222717948;PRESERVATIVO OLLA SENSITIVE 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;9,81522542498152;0,0;0,0;7,95
Python;SERVIMED;'7896222718365;PRESERVATIVO OLLA PROLONG 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;15,829373878154358;0,0;0,0;12,82
Python;SERVIMED;'7896222716279;PRESERVATIVO OLLA LUBRIFICADO 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;5,422869813113719;0,0;0,0;4,39
Python;SERVIMED;'7896222720306;PRESERVATIVO JONTEX MARATHON 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;9,274627811213179;0,0;0,0;7,51
Python;SERVIMED;'7896222717955;PRESERVATIVO OLLA LARGE 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;12,72182157037517;0,0;0,0;10,3
Python;SERVIMED;'7896222720368;PRESERVATIVO JONTEX XL LUBRIFICADO 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;16,31929046563192;0,0;0,0;13,22
Python;SERVIMED;'7896222718273;PRESERVATIVO OLLA MORANGO 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;11,70731707317073;0,0;0,0;9,48
Python;SERVIMED;'7896222718778;PRESERVATIVO OLLA ICE 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;8,34547566254883;0,0;0,0;6,76
Python;SERVIMED;'7896222717931;PRESERVATIVO OLLA LARGE 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;7,635941294477879;0,0;0,0;6,19
Python;SERVIMED;'7896222720009;PRESERVATIVO JONTEX SENSITIVE 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;9,274627811213179;0,0;0,0;7,51
Python;SERVIMED;'7896222717177;PRESERVATIVO OLLA MENTA 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;5,422869813113719;0,0;0,0;4,39
Python;SERVIMED;'7896222718808;PRESERVATIVO OLLA ICE 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;15,75592759411914;0,0;0,0;12,76
Python;SERVIMED;'7896222717962;PRESERVATIVO OLLA SENSITIVE 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;17,46806039488966;0,0;0,0;14,15
Python;SERVIMED;'7896222717788;PRESERVATIVO OLLA TRADICIONAL LV8 PG6;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;10,01794953014465;0,0;0,0;8,11
Python;SERVIMED;'7896222720382;PRESERVATIVO JONTEX MARATHON 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;17,51874142118044;0,0;0,0;14,19
Python;SERVIMED;'7896222718334;PRESERVATIVO OLLA PROLONG 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;8,88607327631718;0,0;0,0;7,2
Python;SERVIMED;'7896222716262;PRESERVATIVO OLLA TRADICIONAL 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;10,01794953014465;0,0;0,0;8,11
Python;SERVIMED;'7896222720344;PRESERVATIVO JONTEX XL SENSITIVE 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;18,92091648189209;0,0;0,0;15,33
Python;SERVIMED;'7896222718846;PRESERVATIVO OLLA SENSITIVE L8 P6;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;17,46806039488966;0,0;0,0;14,15
Python;SERVIMED;'7896222720221;PRESERVATIVO JONTEX COMFORT PLUS 6UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;15,27188258895575;0,0;0,0;12,370000000000001
Python;SERVIMED;'7891035990496;PRESERVATIVO JONTEX ORGASMO EM SINTONIA 4UN;2024-12-13 21:02:52;GO;SERVIMED;1;1;24;20,05279273571956;0,0;0,0;16,240000000000002
Python;SERVIMED;'7891035990458;PRESERVATIVO JONTEX SENSACAO PELE COM PELE 4UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;22,10288993646238;0,0;0,0;17,900000000000002
Python;SERVIMED;'7891035990489;PRESERVATIVO JONTEX ORGASMO EM SINTONIA 2UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;11,92693485376412;0,0;0,0;9,66
Python;SERVIMED;'7891035990441;PRESERVATIVO JONTEX SENSACAO PELE COM PELE 2UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;12,51821349382324;0,0;0,0;10,14
Python;SERVIMED;'7891035990861;PRESERVATIVO OLLA LUBRIFICADO PLAY 3UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;4,657091867085919;0,0;0,0;3,77
Python;SERVIMED;'7891035991110;PRESERVATIVO JONTEX SENSACAO INVISIVEL 2UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;288;17,243335224049908;0,0;0,0;13,97
Python;SERVIMED;'7891035991127;PRESERVATIVO JONTEX SENSACAO INVISIVEL 4UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;144;29,69247083775185;0,0;0,0;24,05
Python;SERVIMED;'7896014657223;PRESERVATIVO PRESERV EXTRA PREMIUM 4UN;2024-12-13 21:02:52;GO;SERVIMED;0;0;30;33,214390663700094;0,0;0,0;26,900000000000002
Python;SERVIMED;'7896222721181;PRESERVATIVO OLLA PLAY COM 6 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;8,818498574596141;0,0;0,0;7,140000000000001
Python;SERVIMED;'7891035000454;PRESERVATIVO OLLA PRAZER DA PELE COM 2 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;12,74265803882528;0,0;0,0;10,32
Python;SERVIMED;'7896222720931;PRESERVATIVO JONTEX PELE COM PELE COM 12 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;506;36;60,634835547727526;0,0;0,0;49,11
Python;SERVIMED;'7896007202348;PRESERVATIVO BLOWTEX MENTA PG6 LV 9;2024-12-13 21:02:52;GO;SERVIMED;1;15;240;7,46439679161892;0,0;0,0;6,05
Python;SERVIMED;'7896007201525;PRESERVATIVO SKYN EXTRA GRANDE COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;0;0;48;9,456181361090279;0,0;0,0;7,66
Python;SERVIMED;'7896007201259;PRESERVATIVO SKYN EXTRA LUBRIFICADO COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;536;48;9,456181361090279;0,0;0,0;7,66
Python;SERVIMED;'7896007200887;PRESERVATIVO SKYN ORIGINAL COM 6 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;1170;24;18,53477532920041;0,0;0,0;15,01
Python;SERVIMED;'7896007202577;PRESERVATIVO SKYN ELITE COM 16 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;29;9;46,79187558426106;0,0;0,0;37,9
Python;SERVIMED;'7896007200344;PRESERVATIVO BLOWTEX MENTA COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;38;48;3,90243902439024;0,0;0,0;3,16
Python;SERVIMED;'7896007200368;PRESERVATIVO BLOWTEX TUTTI FRUTTI COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;351;48;3,90243902439024;0,0;0,0;3,16
Python;SERVIMED;'7896007202461;PRESERVATIVO BLOWTEX SUPER SENSITIVE ALOE VERA LEVE 9 PAGUE 6;2024-12-13 21:02:52;GO;SERVIMED;1;599;16;13,461375031868778;0,0;0,0;10,9
Python;SERVIMED;'7896222721075;PRESERVATIVO JONTEX LUBRIFICADO LEVE 8 PAGUE 7 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;12,74265803882528;0,0;0,0;10,32
Python;SERVIMED;'7896007201129;PRESERVATIVO BLOWTEX ORGAZMAXCOM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;853;48;6,7999733682505195;0,0;0,0;5,51
Python;SERVIMED;'7896007201983;PRES SKYN ELITE COM 6 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;1425;24;19,367392189691838;0,0;0,0;15,69
Python;SERVIMED;'7896007200818;PRESERVATIVO BLOWTEX TWIST COM 6 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;62;24;7,46439679161892;0,0;0,0;6,05
Python;SERVIMED;'7896007202003;PRESERVATIVO BLOWTEX LUBRIFICADO PG 6 LV 9;2024-12-13 21:02:52;GO;SERVIMED;1;461;240;7,720520814230699;0,0;0,0;6,25
Python;SERVIMED;'7896007202355;PRESERVATIVO BLOWTEX RETARDANTE PG 6 LV 9;2024-12-13 21:02:52;GO;SERVIMED;1;705;16;12,356590464859348;0,0;0,0;10,01
Python;SERVIMED;'7896007201747;PRESERVATIVO BLOWTEX ZERO COM3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;210;48;7,597185215549629;0,0;0,0;6,15
Python;SERVIMED;'7896007201891;PRESERVATIVO BLOWTEX MORANGO LEVE 12 PAGUE 10;2024-12-13 21:02:52;GO;SERVIMED;1;79;180;12,459369080747368;0,0;0,0;10,09
Python;SERVIMED;'7896007200399;PRESERVATIVO BLOWTEX EXTRA GRANDE COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;363;48;6,1984228864845;0,0;0,0;5,0200000000000005
Python;SERVIMED;'7896007201358;PRESERVATIVO SKYN ELITE COM 3UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;2944;48;10,23289932147441;0,0;0,0;8,290000000000001
Python;SERVIMED;'7896007201396;PRES SKYN SELECTION COM 6 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;1434;24;19,367392189691838;0,0;0,0;15,69
Python;SERVIMED;'7896007201969;PRESERVATIVO BLOWTEX ZERO COM6 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;591;24;13,461375031868778;0,0;0,0;10,9
Python;SERVIMED;'7896222721068;PRESERVATIVO JONTEX SENSITIVELEVE 8 PAGUE 7 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;0;0;24;20,44134727061556;0,0;0,0;16,56
Python;SERVIMED;'7896007202096;PRESERVATIVO SKYN PG6 LV8;2024-12-13 21:02:52;GO;SERVIMED;1;1677;18;18,53477532920041;0,0;0,0;15,01
Python;SERVIMED;'7896007201709;PRESERVATIVO BLOWTEX MOR/CHOCCOM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;788;48;3,90243902439024;0,0;0,0;3,16
Python;SERVIMED;'7896007200306;PRESERVATIVO BLOWTEX MORANGO COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;244;48;3,90243902439024;0,0;0,0;3,16
Python;SERVIMED;'7896007200375;PRESERVATIVO BLOWTEX RETARDANTE COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;604;48;6,7999733682505195;0,0;0,0;5,51
Python;SERVIMED;'7896007200863;PRESERVATIVO SKYN ORIGINAL COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;652;48;9,456181361090279;0,0;0,0;7,66
Python;SERVIMED;'7896007202324;PRESERVATIVO BLOWTEX TUTTI FRUTTI PG 6 LV 9;2024-12-13 21:02:52;GO;SERVIMED;0;0;240;7,46439679161892;0,0;0,0;6,05
Python;SERVIMED;'7896007201297;PRESERVATIVO SKYN TEXTURIZADOGRANDE COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;426;48;10,23289932147441;0,0;0,0;8,290000000000001
Python;SERVIMED;'7896007200313;PRESERVATIVO BLOWTEX LUBRIFICADO COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;551;48;3,65066876475216;0,0;0,0;2,96
Python;SERVIMED;'7896007202560;PRESERVATIVO BLOWTEX LUBRIFICADO LEVE 24 PAGUE 20;2024-12-13 21:02:52;GO;SERVIMED;1;75;6;25,99690282617111;0,0;0,0;21,06
Python;SERVIMED;'7896007200504;PRESERVATIVO BLOWTEX ELITE COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;2293;48;1,1971768069329;0,0;0,0;0,97
Python;SERVIMED;'7896007202515;PRESERVATIVO BLOWTEX SABOR UVA VERDE COM 3 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;1;110;48;3,90243902439024;0,0;0,0;3,16
Python;SERVIMED;'7896007202546;PRESERVATIVO BLOWETEX ZERO COM 16 UNIDADES;2024-12-13 21:02:52;GO;SERVIMED;0;0;9;17,67119595060052;0,0;0,0;14,31
Python;SERVIMED;'7896007202713;PRESERVATIVO BLOWTEX SENSITIVE COM 6 UNIDADES;2024-12-13 21:02:53;GO;SERVIMED;1;82;24;16,87340301974448;0,0;0,0;13,67
Python;SERVIMED;'7896007202720;PRESERVATIVO BLOWTEX SENSITIVE COM 3 UNIDADES;2024-12-13 21:02:53;GO;SERVIMED;1;263;48;8,54105244349147;0,0;0,0;6,92
Python;SERVIMED;'7896007202607;PRESERVATIVO BLOWTEX MIX DE SABORES LEVE 12 PAGUE 10;2024-12-13 21:02:53;GO;SERVIMED;1;261;12;12,78100400051619;0,0;0,0;10,35
